#l0
476,315,872,661,737
340,816
6,115,313,112
624,737,340
274,420
180,324
175,158,418,258
258,165
274,116
778,872
274,68
165,168
340,117
112,420
537,162,116
476,778
68,116
624,284,206
274,162
737,816
#258,274
274,537
324,142
115,68,420
112,162,117
537,68
778,872
98,735
#l1
919,667
154,89
30,394
916,927
367,268
62,392
59,238
394,367
154,100
#past
246,154,387,394,667,230,354,367,237,89,12,394,276
284,206,846
545,547
689,488,760
268,57,62,75,338
895,928
359,59
#598,165
566,840
379,418
613,841
248,412,199
#178,94
816,510
175,258
#162,932
158,180
115,737
959,661
#914,524
229,530
312,973
992,51
1007,30
#891,824
1012,117
842,932
585,53
274,162
537,68,116
721,260
916,147
315,156
#511,624
123,313
973,710
#516,824
#914,677
#236,833
1040,993
735,842
199,1007,973,992
